('2019-01-17T12:56:37.090Z',	  '29.6405',	  '-114.0388',	  '   10',	  '  5.3',	  '  mww',	  '  123',	  '1.559',	  ' 1.25',	  '   us',	 'us2000j517',	  '2019-01-17T13:11:40.040Z',	  '133km',	  '  WSW',	  '   of',	  '   La',	  'Libertad,',	  'Mexico',	  'earthquake',	  '  3.1',	  '  1.9',	 '0.048'),
('2019-01-17T10:51:58.300Z',	  '-4.4052',	  '67.9813',	  '   10',	  '  5.1',	  '   mb',	  '  203',	  '5.357',	  ' 0.69',	  '   us',	 'us2000j50c',	  '2019-01-17T11:09:50.040Z',	  'Carlsberg',	  'Ridge',	  'earthquake',	  ' 15.2',	  '    2',	  '0.088',	  '   42',	  'reviewed',	  '   us',	 '   us'),
('2019-01-17T03:36:33.690Z',	  '36.5132',	  '22.1476',	  ' 22.6',	  '  4.5',	  '  mwr',	  '  150',	  '0.687',	  ' 1.07',	  '   us',	 'us2000j4vp',	  '2019-01-17T04:29:14.370Z',	  ' 36km',	  '  SSE',	  '   of',	  'Koroni,',	  'Greece',	  'earthquake',	  '  7.1',	  '  6.1',	  '0.089',	 '   12'),
('2019-01-17T02:54:49.740Z',	  '-14.3522',	  '167.3219',	  '197.6',	  '  5.2',	  '   mb',	  '   53',	  '7.723',	  ' 0.98',	  '   us',	 'us2000j4uz',	  '2019-01-17T03:11:17.040Z',	  ' 57km',	  '  SSW',	  '   of',	  'Sola,',	  'Vanuatu',	  'earthquake',	  '  8.3',	  '  6.8',	  '0.095',	 '   37'),
('2019-01-17T02:53:07.300Z',	  '7.4131',	  '94.3901',	  '99.22',	  '  5.4',	  '  mww',	  '   37',	  '3.342',	  ' 1.09',	  '   us',	 'us2000j4uw',	  '2019-01-17T03:09:38.040Z',	  '133km',	  '  ESE',	  '   of',	  'Mohean,',	  'India',	  'earthquake',	  '  8.3',	  '    6',	  '0.073',	 '   18'),
('2019-01-17T02:23:36.930Z',	  '41.9433',	  '142.689',	  '70.52',	  '  4.8',	  '   mb',	  '  122',	  '0.356',	  ' 0.95',	  '   us',	 'us2000j4um',	  '2019-01-17T02:35:02.040Z',	  ' 50km',	  '  SSE',	  '   of',	  'Shizunai,',	  'Japan',	  'earthquake',	  '  7.9',	  '  9.1',	  '0.098',	 '   32'),
('2019-01-16T22:44:10.660Z',	  '72.4058',	  '5.6689',	  '   10',	  '  4.8',	  '   mb',	  '   48',	  '6.392',	  '  0.7',	  '   us',	 'us2000j4ss',	  '2019-01-16T23:00:04.040Z',	  'Norwegian',	  '  Sea',	  'earthquake',	  '  7.6',	  '  1.9',	  '0.047',	  '  136',	  'reviewed',	  '   us',	 '   us'),
('2019-01-16T21:39:36.220Z',	  '24.7834',	  '96.3144',	  '14.14',	  '  4.7',	  '   mb',	  '   53',	  '1.915',	  ' 0.77',	  '   us',	 'us2000j4r3',	  '2019-01-16T22:28:32.040Z',	  '109km',	  '  WNW',	  '   of',	  'Bhamo,',	  'Burma',	  'earthquake',	  '  3.1',	  '  4.8',	  '0.077',	 '   51'),
('2019-01-16T18:29:25.100Z',	  '-3.1501',	  '146.4241',	  '   10',	  '  4.5',	  '   mb',	  '   96',	  '1.447',	  ' 1.21',	  '   us',	 'us2000j4lk',	  '2019-01-16T21:17:10.040Z',	  '156km',	  '   SW',	  '   of',	  'Lorengau,',	  'Papua',	  '  New',	  'Guinea',	  'earthquake',	  '  8.3',	 '  1.9'),
('2019-01-16T10:53:15.510Z',	  '3.5635',	  '128.668',	  '   10',	  '  5.1',	  '   mb',	  '   86',	  '3.062',	  '  1.1',	  '   us',	 'us2000j4gk',	  '2019-01-16T11:18:51.040Z',	  '215km',	  '  NNE',	  '   of',	  'Tobelo,',	  'Indonesia',	  'earthquake',	  '    8',	  '  1.8',	  ' 0.06',	 '   89'),
('2019-01-16T10:49:27.270Z',	  '3.4679',	  '128.6501',	  '   10',	  '  5.4',	  '  mww',	  '   44',	  '2.969',	  ' 0.88',	  '   us',	 'us2000j4gj',	  '2019-01-16T17:36:45.040Z',	  '205km',	  '  NNE',	  '   of',	  'Tobelo,',	  'Indonesia',	  'earthquake',	  '  7.7',	  '  1.9',	  '0.073',	 '   18'),
('2019-01-16T08:32:57.230Z',	  '-43.8741',	  '-16.0281',	  '   10',	  '  5.1',	  '   mb',	  '   85',	  '16.911',	  ' 0.85',	  '   us',	 'us2000j4fm',	  '2019-01-16T09:05:44.040Z',	  'Southern',	  'Mid-Atlantic',	  'Ridge',	  'earthquake',	  ' 11.7',	  '  1.8',	  '0.079',	  '   52',	  'reviewed',	 '   us'),
('2019-01-16T08:16:57.430Z',	  '-15.1353',	  '-173.3192',	  '   10',	  '    5',	  '   mb',	  '   84',	  '1.927',	  ' 1.22',	  '   us',	 'us2000j4fa',	  '2019-01-16T09:09:43.733Z',	  '101km',	  '  NNE',	  '   of',	  'Hihifo,',	  'Tonga',	  'earthquake',	  '  8.4',	  '  1.8',	  '0.054',	 '  111'),
('2019-01-16T04:12:36.140Z',	  '-21.6496',	  '168.9572',	  '   10',	  '  5.4',	  '  mww',	  '   88',	  '2.372',	  ' 1.05',	  '   us',	 'us2000j4dx',	  '2019-01-16T17:42:18.040Z',	  '111km',	  '    E',	  '   of',	  'Tadine,',	  '  New',	  'Caledonia',	  'earthquake',	  ' 10.5',	  '  1.9',	 '0.071'),
('2019-01-16T01:51:02.040Z',	  '-22.118',	  '169.2873',	  '   10',	  '  5.1',	  '   mb',	  '   96',	  '2.632',	  '  1.3',	  '   us',	 'us2000j4cy',	  '2019-01-16T02:10:02.040Z',	  '158km',	  '  ESE',	  '   of',	  'Tadine,',	  '  New',	  'Caledonia',	  'earthquake',	  '   10',	  '  1.9',	 '0.067'),
('2019-01-16T01:17:59.850Z',	  '-4.0159',	  '129.0774',	  '129.31',	  '  4.6',	  '   mb',	  '   89',	  '3.348',	  ' 0.78',	  '   us',	 'us2000j4cn',	  '2019-01-16T01:39:45.040Z',	  ' 68km',	  '   SE',	  '   of',	  'Saparua,',	  'Indonesia',	  'earthquake',	  '  7.4',	  '  8.5',	  '0.116',	 '   22'),
('2019-01-16T00:39:33.510Z',	  '19.4966',	  '-68.2711',	  '   84',	  '  4.5',	  '   md',	  '   20',	  '  211',	  '0.9888',	  ' 0.39',	 '   pr',	  'pr2019016000',	  '2019-01-16T02:21:29.987Z',	  ' 87km',	  '    N',	  '   of',	  'Punta',	  'Cana,',	  'Dominican',	  'Republic',	  'earthquake',	 ' 3.38'),
('2019-01-15T23:40:38.570Z',	  '-7.0699',	  '129.0596',	  '46.77',	  '  4.9',	  '   mb',	  '   75',	  '2.398',	  ' 1.22',	  '   us',	 'us2000j4bm',	  '2019-01-15T23:59:34.040Z',	  '267km',	  '  WNW',	  '   of',	  'Saumlaki,',	  'Indonesia',	  'earthquake',	  '  6.8',	  '  7.3',	  '0.079',	 '   50'),
('2019-01-15T23:30:48.230Z',	  '37.2114',	  '-73.0694',	  ' 5.61',	  '  4.6',	  '  mww',	  '   74',	  '2.117',	  ' 1.33',	  '   us',	 'us2000j4bf',	  '2019-01-17T13:06:24.461Z',	  '217km',	  '   SE',	  '   of',	  'Ocean',	  'City,',	  'Maryland',	  'earthquake',	  '  6.8',	  '  4.2',	 '0.089'),
('2019-01-15T20:24:07.940Z',	  '-8.9387',	  '-79.1106',	  '51.48',	  '  5.2',	  '   mb',	  '   89',	  '3.762',	  ' 0.77',	  '   us',	 'us2000j481',	  '2019-01-16T19:16:19.040Z',	  ' 51km',	  '    W',	  '   of',	  'Puerto',	  'Santa,',	  ' Peru',	  'earthquake',	  '  9.3',	  '  5.5',	 '0.032'),
('2019-01-15T20:03:20.290Z',	  '5.853',	  '126.9075',	  '61.14',	  '  5.8',	  '  mww',	  '   39',	  '1.789',	  ' 1.12',	  '   us',	 'us2000j47l',	  '2019-01-16T18:21:18.161Z',	  ' 98km',	  '   SE',	  '   of',	  'Pondaguitan,',	  'Philippines',	  'earthquake',	  '  6.7',	  '  4.2',	  '0.071',	 '   19'),
('2019-01-15T18:06:34.410Z',	  '-13.3569',	  '166.8419',	  '   35',	  '  6.6',	  '  mww',	  '   18',	  '  7.8',	  ' 0.83',	  '   us',	 'us2000j468',	  '2019-01-16T17:35:51.622Z',	  ' 96km',	  '   NW',	  '   of',	  'Sola,',	  'Vanuatu',	  'earthquake',	  '  7.9',	  '  1.9',	  '0.038',	 '   66'),
('2019-01-15T17:04:59.710Z',	  '-3.2388',	  '146.5865',	  '   10',	  '  4.8',	  '   mb',	  '   91',	  ' 1.42',	  ' 1.07',	  '   us',	 'us2000j45h',	  '2019-01-16T16:02:38.040Z',	  '154km',	  '  SSW',	  '   of',	  'Lorengau,',	  'Papua',	  '  New',	  'Guinea',	  'earthquake',	  '  9.3',	 '  1.9'),
('2019-01-15T11:27:08.160Z',	  '33.7059',	  '141.2357',	  '31.67',	  '  4.7',	  '  mwr',	  '  117',	  '1.327',	  ' 0.82',	  '   us',	 'us2000j42r',	  '2019-01-15T12:12:21.855Z',	  '150km',	  '  ENE',	  '   of',	  'Hachijo-jima,',	  'Japan',	  'earthquake',	  '    5',	  '  5.3',	  '0.093',	 '   11'),
('2019-01-15T06:25:53.050Z',	  '10.5357',	  '-63.0971',	  '   10',	  '  4.5',	  '   mb',	  '   91',	  '2.126',	  ' 0.57',	  '   us',	 'us2000j41e',	  '2019-01-15T11:37:19.034Z',	  '  5km',	  '    E',	  '   of',	  '   El',	  'Pilar,',	  'Venezuela',	  'earthquake',	  '  7.2',	  '  1.9',	 '0.059'),
('2019-01-15T05:53:52.370Z',	  '-22.0406',	  '168.9798',	  '   10',	  '  4.7',	  '   mb',	  '   83',	  '2.352',	  ' 1.03',	  '   us',	 'us2000j416',	  '2019-01-15T06:11:21.040Z',	  '125km',	  '  ESE',	  '   of',	  'Tadine,',	  '  New',	  'Caledonia',	  'earthquake',	  '  8.7',	  '  1.5',	 '0.102'),
('2019-01-15T04:59:24.940Z',	  '10.4803',	  '-63.0834',	  '   10',	  '  4.9',	  '   mb',	  '   92',	  '2.159',	  ' 0.81',	  '   us',	 'us2000j40z',	  '2019-01-15T05:09:43.040Z',	  '  9km',	  '   SE',	  '   of',	  '   El',	  'Pilar,',	  'Venezuela',	  'earthquake',	  '  8.7',	  '  1.9',	 ' 0.06'),
('2019-01-15T03:41:04.620Z',	  '11.2853',	  '-86.6207',	  '36.23',	  '  5.3',	  '  mww',	  '   54',	  '0.893',	  '  1.3',	  '   us',	 'us2000j40f',	  '2019-01-15T15:46:16.040Z',	  ' 56km',	  '  SSW',	  '   of',	  'Masachapa,',	  'Nicaragua',	  'earthquake',	  '  3.3',	  '  4.8',	  '0.065',	 '   23'),
('2019-01-15T03:10:53.480Z',	  '12.5262',	  '-87.606',	  '70.61',	  '  4.5',	  '   mb',	  '  166',	  '0.568',	  '    1',	  '   us',	 'us2000j408',	  '2019-01-15T16:44:47.715Z',	  ' 29km',	  '   SW',	  '   of',	  'Jiquilillo,',	  'Nicaragua',	  'earthquake',	  '  8.6',	  ' 12.4',	  '0.059',	 '   85'),
('2019-01-15T01:58:55.090Z',	  '-5.9772',	  '146.6097',	  '   35',	  '  4.9',	  '   mb',	  '   41',	  ' 3.98',	  ' 0.85',	  '   us',	 'us2000j3zy',	  '2019-01-15T02:15:06.958Z',	  ' 89km',	  '  ENE',	  '   of',	  'Kainantu,',	  'Papua',	  '  New',	  'Guinea',	  'earthquake',	  '  8.5',	 '    2'),
('2019-01-15T01:55:53.590Z',	  '14.7334',	  '56.0714',	  '   10',	  '  4.6',	  '   mb',	  '  157',	  '10.16',	  ' 0.72',	  '   us',	 'us2000j3zx',	  '2019-01-15T02:21:04.040Z',	  ' Owen',	  'Fracture',	  ' Zone',	  'region',	  'earthquake',	  ' 13.9',	  '    2',	  '0.112',	  '   24',	 'reviewed'),
('2019-01-15T01:25:04.410Z',	  '38.949',	  '20.5913',	  ' 6.25',	  '  4.5',	  '   mb',	  '   74',	  ' 0.98',	  ' 0.67',	  '   us',	 'us2000j3z9',	  '2019-01-15T02:36:06.040Z',	  ' 13km',	  '    W',	  '   of',	  'Preveza,',	  'Greece',	  'earthquake',	  '    3',	  '  5.4',	  '0.106',	 '   26'),
('2019-01-15T00:56:29.980Z',	  '-5.6967',	  '130.2355',	  '167.5',	  '  4.7',	  '   mb',	  '   52',	  '2.504',	  ' 1.09',	  '   us',	 'us2000j3yy',	  '2019-01-15T01:13:24.040Z',	  '276km',	  '  NNW',	  '   of',	  'Saumlaki,',	  'Indonesia',	  'earthquake',	  '  8.2',	  '  7.2',	  '0.076',	 '   52'),
('2019-01-14T23:59:53.400Z',	  '1.7028',	  '99.0705',	  '15.03',	  '  4.9',	  '   mb',	  '   98',	  '1.546',	  ' 0.82',	  '   us',	 'us2000j3yg',	  '2019-01-15T03:24:48.267Z',	  ' 32km',	  '    E',	  '   of',	  'Sibolga,',	  'Indonesia',	  'earthquake',	  '  2.9',	  '  3.7',	  '0.066',	 '   71'),
('2019-01-14T23:03:56.540Z',	  '44.4228',	  '12.2978',	  '   10',	  '  4.5',	  '  mwr',	  '   22',	  '1.176',	  ' 0.73',	  '   us',	 'us2000j3y5',	  '2019-01-16T13:50:41.717Z',	  '  7km',	  '    E',	  '   of',	  'Ravenna,',	  'Italy',	  'earthquake',	  '  3.9',	  '  1.9',	  '0.046',	 '   45'),
('2019-01-14T21:37:48.800Z',	  '51.6467',	  '-176.8115',	  '62.01',	  '  4.6',	  '   mb',	  '  140',	  '0.248',	  ' 0.74',	  '   us',	 'us2000j3w9',	  '2019-01-14T23:06:28.958Z',	  ' 28km',	  '  SSW',	  '   of',	  'Adak,',	  'Alaska',	  'earthquake',	  ' 11.9',	  '  6.5',	  '0.076',	 '   52'),
('2019-01-14T13:49:42.020Z',	  '40.2668',	  '77.2486',	  ' 30.3',	  '  4.6',	  '   mb',	  '  116',	  ' 1.52',	  ' 0.85',	  '   us',	 'us2000j3rd',	  '2019-01-14T14:17:35.040Z',	  '116km',	  '   NE',	  '   of',	  'Arzak,',	  'China',	  'earthquake',	  '  6.8',	  '  6.2',	  '0.132',	 '   17'),
('2019-01-14T10:54:50.920Z',	  '21.3373',	  '101.7416',	  '   10',	  '  4.6',	  '   mb',	  '   53',	  '2.007',	  '  1.1',	  '   us',	 'us2000j3qb',	  '2019-01-14T14:02:07.040Z',	  ' 24km',	  '   SE',	  '   of',	  'Mengla,',	  'China',	  'earthquake',	  '  6.3',	  '  1.9',	  '0.116',	 '   22'),
('2019-01-14T08:43:02.930Z',	  '52.6541',	  '-170.2982',	  '   72',	  '  4.5',	  '   mb',	  '  166',	  '2.963',	  ' 0.82',	  '   us',	 'us2000j3p7',	  '2019-01-14T20:57:49.575Z',	  ' 27km',	  '    E',	  '   of',	  'Yunaska',	  'Island,',	  'Alaska',	  'earthquake',	  '   10',	  '  7.5',	 '0.049'),
